Date,ASPUS
2015-04-22,341476.92307692306
2015-04-23,341561.53846153844
2015-04-24,341646.1538461539
2015-04-25,341730.76923076925
2015-04-26,341815.3846153846
2015-04-27,341900.0
2015-04-28,341984.6153846154
2015-04-29,342069.23076923075
2015-04-30,342153.8461538461
2015-05-01,342238.46153846156
2015-05-02,342323.07692307694
2015-05-03,342407.6923076923
2015-05-04,342492.3076923077
2015-05-05,342576.92307692306
2015-05-06,342661.53846153844
2015-05-07,342746.1538461539
2015-05-08,342830.76923076925
2015-05-09,342915.3846153846
2015-05-10,343000.0
2015-05-11,343084.6153846154
2015-05-12,343169.23076923075
2015-05-13,343253.8461538461
2015-05-14,343338.46153846156
2015-05-15,343423.07692307694
2015-05-16,343507.6923076923
2015-05-17,343592.3076923077
2015-05-18,343676.92307692306
2015-05-19,343761.53846153844
2015-05-20,343846.1538461539
2015-05-21,343930.76923076925
2015-05-22,344015.3846153846
2015-05-23,344100.0
2015-05-24,344184.6153846154
2015-05-25,344269.23076923075
2015-05-26,344353.8461538461
2015-05-27,344438.46153846156
2015-05-28,344523.07692307694
2015-05-29,344607.6923076923
2015-05-30,344692.3076923077
2015-05-31,344776.92307692306
2015-06-01,344861.53846153844
2015-06-02,344946.1538461539
2015-06-03,345030.76923076925
2015-06-04,345115.3846153846
2015-06-05,345200.0
2015-06-06,345284.6153846154
2015-06-07,345369.23076923075
2015-06-08,345453.8461538461
2015-06-09,345538.46153846156
2015-06-10,345623.07692307694
2015-06-11,345707.6923076923
2015-06-12,345792.3076923077
2015-06-13,345876.92307692306
2015-06-14,345961.53846153844
2015-06-15,346046.1538461539
2015-06-16,346130.76923076925
2015-06-17,346215.3846153846
2015-06-18,346300.0
2015-06-19,346384.6153846154
2015-06-20,346469.23076923075
2015-06-21,346553.8461538461
2015-06-22,346638.46153846156
2015-06-23,346723.07692307694
2015-06-24,346807.6923076923
2015-06-25,346892.3076923077
2015-06-26,346976.92307692306
2015-06-27,347061.53846153844
2015-06-28,347146.1538461539
2015-06-29,347230.76923076925
2015-06-30,347315.3846153846
2015-07-01,347400.0
2015-07-02,347609.7826086957
2015-07-03,347819.5652173913
2015-07-04,348029.347826087
2015-07-05,348239.1304347826
2015-07-06,348448.9130434783
2015-07-07,348658.6956521739
2015-07-08,348868.47826086957
2015-07-09,349078.26086956525
2015-07-10,349288.04347826086
2015-07-11,349497.82608695654
2015-07-12,349707.60869565216
2015-07-13,349917.39130434784
2015-07-14,350127.17391304346
2015-07-15,350336.95652173914
2015-07-16,350546.73913043475
2015-07-17,350756.52173913043
2015-07-18,350966.3043478261
2015-07-19,351176.0869565217
2015-07-20,351385.8695652174
2015-07-21,351595.652173913
2015-07-22,351805.4347826087
2015-07-23,352015.2173913043
2015-07-24,352225.0
2015-07-25,352434.7826086957
2015-07-26,352644.5652173913
2015-07-27,352854.347826087
2015-07-28,353064.1304347826
2015-07-29,353273.9130434783
2015-07-30,353483.6956521739
2015-07-31,353693.47826086957
2015-08-01,353903.26086956525
2015-08-02,354113.04347826086
2015-08-03,354322.82608695654
2015-08-04,354532.60869565216
2015-08-05,354742.39130434784
2015-08-06,354952.17391304346
2015-08-07,355161.95652173914
2015-08-08,355371.73913043475
2015-08-09,355581.52173913043
2015-08-10,355791.3043478261
2015-08-11,356001.0869565217
2015-08-12,356210.8695652174
2015-08-13,356420.652173913
2015-08-14,356630.4347826087
2015-08-15,356840.2173913043
2015-08-16,357050.0
2015-08-17,357259.7826086957
2015-08-18,357469.5652173913
2015-08-19,357679.347826087
2015-08-20,357889.1304347826
2015-08-21,358098.9130434783
2015-08-22,358308.6956521739
2015-08-23,358518.47826086957
2015-08-24,358728.26086956525
2015-08-25,358938.04347826086
2015-08-26,359147.82608695654
2015-08-27,359357.60869565216
2015-08-28,359567.39130434784
2015-08-29,359777.17391304346
2015-08-30,359986.95652173914
2015-08-31,360196.7391304348
2015-09-01,360406.52173913043
2015-09-02,360616.3043478261
2015-09-03,360826.0869565217
2015-09-04,361035.8695652174
2015-09-05,361245.652173913
2015-09-06,361455.4347826087
2015-09-07,361665.2173913043
2015-09-08,361875.0
2015-09-09,362084.7826086957
2015-09-10,362294.5652173913
2015-09-11,362504.347826087
2015-09-12,362714.1304347826
2015-09-13,362923.9130434783
2015-09-14,363133.6956521739
2015-09-15,363343.47826086957
2015-09-16,363553.26086956525
2015-09-17,363763.04347826086
2015-09-18,363972.82608695654
2015-09-19,364182.60869565216
2015-09-20,364392.39130434784
2015-09-21,364602.17391304346
2015-09-22,364811.95652173914
2015-09-23,365021.7391304348
2015-09-24,365231.52173913043
2015-09-25,365441.3043478261
2015-09-26,365651.0869565217
2015-09-27,365860.8695652174
2015-09-28,366070.652173913
2015-09-29,366280.4347826087
2015-09-30,366490.2173913043
2015-10-01,366700.0
2015-10-02,366594.5652173913
2015-10-03,366489.1304347826
2015-10-04,366383.6956521739
2015-10-05,366278.26086956525
2015-10-06,366172.82608695654
2015-10-07,366067.39130434784
2015-10-08,365961.95652173914
2015-10-09,365856.52173913043
2015-10-10,365751.0869565217
2015-10-11,365645.652173913
2015-10-12,365540.2173913043
2015-10-13,365434.7826086957
2015-10-14,365329.347826087
2015-10-15,365223.9130434783
2015-10-16,365118.47826086957
2015-10-17,365013.04347826086
2015-10-18,364907.60869565216
2015-10-19,364802.17391304346
2015-10-20,364696.73913043475
2015-10-21,364591.3043478261
2015-10-22,364485.8695652174
2015-10-23,364380.4347826087
2015-10-24,364275.0
2015-10-25,364169.5652173913
2015-10-26,364064.1304347826
2015-10-27,363958.6956521739
2015-10-28,363853.26086956525
2015-10-29,363747.82608695654
2015-10-30,363642.39130434784
2015-10-31,363536.95652173914
2015-11-01,363431.52173913043
2015-11-02,363326.0869565217
2015-11-03,363220.652173913
2015-11-04,363115.2173913043
2015-11-05,363009.7826086957
2015-11-06,362904.347826087
2015-11-07,362798.9130434783
2015-11-08,362693.47826086957
2015-11-09,362588.04347826086
2015-11-10,362482.60869565216
2015-11-11,362377.17391304346
2015-11-12,362271.73913043475
2015-11-13,362166.3043478261
2015-11-14,362060.8695652174
2015-11-15,361955.4347826087
2015-11-16,361850.0
2015-11-17,361744.5652173913
2015-11-18,361639.1304347826
2015-11-19,361533.6956521739
2015-11-20,361428.26086956525
2015-11-21,361322.82608695654
2015-11-22,361217.39130434784
2015-11-23,361111.95652173914
2015-11-24,361006.52173913043
2015-11-25,360901.0869565217
